unit, hex
302514304, 12080080
302776448, 120C0080
303169664, 12120080
304480384, 12260080
311033984, 128A0080
336593024, 14100080
436732032, 1A080080
436994176, 1A0C0080
437387392, 1A120080
268959744, 10080000
269221888, 100C0000
269615104, 10120000
270532608, 10200000
271450112, 102E0000
273285120, 104A0000
274202624, 10580000
274595840, 105E0000
302514176, 12080000
302645248, 120A0000
302776320, 120C0000
303169536, 12120000
303300608, 12140000
303562752, 12180000
304087040, 12200000
304480256, 12260000
304611328, 12280000
305004544, 122E0000
305397760, 12340000
306446336, 12440000
306839552, 124A0000
306970624, 124C0000
307101696, 124E0000
308019200, 125C0000
311033856, 128A0000
311951360, 12980000
336592896, 14100000
340000768, 14440000
436731904, 1A080000
436862976, 1A0A0000
436994048, 1A0C0000
437387264, 1A120000
437518336, 1A140000
437780480, 1A180000
440664064, 1A440000
441057280, 1A4A0000
441188352, 1A4C0000
441319424, 1A4E0000
469893120, 1C020000
470679552, 1C0E0000
470810624, 1C100000
474218496, 1C440000
1006764032, 3C020000
2483290112, 94040000
2484469760, 94160000
2617507840, 9C040000
2618687488, 9C160000
271319048, 102C0008
273678344, 10500008
309200904, 126E0808
271319056, 102C0010
273678352, 10500010
309856272, 12780810
524288, 80000
786432, C0000
1179648, 120000
1703936, 1A0000
3670016, 380000
4194304, 400000
6291456, 600000
34078720, 2080000
34340864, 20C0000
34734080, 2120000
35258368, 21A0000
37224448, 2380000
37748736, 2400000
37879808, 2420000
39845888, 2600000
39976960, 2620000
40108032, 2640000
67239936, 4020000
68026368, 40E0000
604110848, 24020000
2214854656, 84040000
2216034304, 84160000
